model,fold,case,scenario,postprocessing,cldice,hd95,nsd,nsd05,betti0,volume_delta,git_commit,seed,timestamp
M0_Star,0,PARSE_0055.nii.gz,GT_minus_omission,lcc,0.7610802556024159,1.823009670246568,0.9041210920678667,0.6624178221801166,20.0,0.08633970407521005,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_minus_omission,none,0.7639322231275991,1.754167227242834,0.906505548281857,0.6624240733188813,68.0,0.08931027477779,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_star,lcc,0.8197078019978132,1.1897144750849098,0.9360329737097065,0.7046192751695486,0.0,-0.0042369647703094995,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_star,none,0.8223176224731846,1.1897144750849098,0.9387491117245805,0.7046406455183435,88.0,-0.001514073866047199,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_drift_neg,lcc,0.7762152034572722,1.0,0.9312244260869857,0.6461795636951976,234.0,-0.024897546111200698,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_drift_neg,none,0.7861316774513585,1.0,0.9397542859624913,0.6499694277475768,138.0,-0.021016253607433397,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_drift_pos,lcc,0.7825071333842383,1.229228045121841,0.9162189352912216,0.6371128283066122,45.0,-0.12166981382512485,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_drift_pos,none,0.7935749705985502,1.0109417262276421,0.926370055938051,0.6412443399644944,51.0,-0.11817371312941082,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_omission,lcc,0.7586618044158532,1.0109417262276421,0.9144723946422738,0.680665073333448,8.0,-0.01842144298504622,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0058.nii.gz,GT_minus_omission,none,0.7603194639853744,1.0109417262276421,0.9175665269102421,0.6803046119620091,88.0,-0.014514373035619827,c1e84f2,42.0,2026-09-07T16:52:52+00:00
